Filename,q_flag,Time,Energy,File Size,Resolution,bpp,,,,
bikes,0,0.093070405,4.29,1182126,768x512,24.0504,,0.0420103101988147,2.01317887931035,24.0525137931035
bikes,1,0.089010377,4.19,1182126,768x512,24.0504,,,,
bikes,2,0.079165754,3.77,1182126,768x512,24.0504,,,,
bikes,3,0.074223991,3.64,1182126,768x512,24.0504,,,,
bikes,4,0.068862078,3.52,1182126,768x512,24.0504,,,,
bikes,5,0.065781961,3.28,1182126,768x512,24.0504,,,,
bikes,6,0.067499894,3.06,1182126,768x512,24.0504,,,,
bikes,7,0.06120123,2.85,1182126,768x512,24.0504,,,,
bikes,8,0.060190507,2.99,1182126,768x512,24.0504,,,,
bikes,9,0.058920284,2.73,1182126,768x512,24.0504,,,,
bikes,10,0.056107267,2.86,1182126,768x512,24.0504,,,,
bikes,11,0.0576292,2.95,1182126,768x512,24.0504,,,,
bikes,12,0.066057132,3.11,1182126,768x512,24.0504,,,,
bikes,13,0.058341782,2.86,1182126,768x512,24.0504,,,,
bikes,14,0.055190955,2.83,1182126,768x512,24.0504,,,,
bikes,15,0.054549643,2.62,1182126,768x512,24.0504,,,,
bikes,16,0.053555231,2.64,1182126,768x512,24.0504,,,,
bikes,17,0.052319907,2.59,1182126,768x512,24.0504,,,,
bikes,18,0.050625204,2.61,1182126,768x512,24.0504,,,,
bikes,19,0.054781664,2.71,1182126,768x512,24.0504,,,,
bikes,20,0.051491906,2.56,1182126,768x512,24.0504,,,,
bikes,21,0.049865932,2.48,1182126,768x512,24.0504,,,,
bikes,22,0.05324419,2.69,1182126,768x512,24.0504,,,,
bikes,23,0.050502333,2.59,1182126,768x512,24.0504,,,,
bikes,24,0.051689756,2.58,1182126,768x512,24.0504,,,,
bikes,25,0.047937457,2.38,1182126,768x512,24.0504,,,,
bikes,26,0.047773936,2.28,1182126,768x512,24.0504,,,,
bikes,27,0.046480024,2.43,1182126,768x512,24.0504,,,,
bikes,28,0.045981723,2.26,1182126,768x512,24.0504,,,,
bikes,29,0.045924632,2.26,1182126,768x512,24.0504,,,,
bikes,30,0.047004925,2.28,1182126,768x512,24.0504,,,,
bikes,31,0.04515562,2.17,1182126,768x512,24.0504,,,,
bikes,32,0.051257646,2.45,1182126,768x512,24.0504,,,,
bikes,33,0.043157016,2.05,1182126,768x512,24.0504,,,,
bikes,34,0.042583624,1.92,1182126,768x512,24.0504,,,,
bikes,35,0.044286188,2.2,1182126,768x512,24.0504,,,,
bikes,36,0.042550644,2.09,1182126,768x512,24.0504,,,,
bikes,37,0.04106949,1.9,1182126,768x512,24.0504,,,,
bikes,38,0.04086966,2.04,1182126,768x512,24.0504,,,,
bikes,39,0.040653369,2.1,1182126,768x512,24.0504,,,,
bikes,40,0.039390866,1.97,1182126,768x512,24.0504,,,,
bikes,41,0.040413699,2.01,1182126,768x512,24.0504,,,,
bikes,42,0.039842317,1.95,1182126,768x512,24.0504,,,,
bikes,43,0.039033135,1.91,1182126,768x512,24.0504,,,,
bikes,44,0.038471114,1.88,1182126,768x512,24.0504,,,,
bikes,45,0.039521087,1.96,1182126,768x512,24.0504,,,,
bikes,46,0.037450591,1.9,1182126,768x512,24.0504,,,,
bikes,47,0.037959302,1.86,1182126,768x512,24.0504,,,,
bikes,48,0.037675212,1.83,1182126,768x512,24.0504,,,,
bikes,49,0.038254334,1.81,1182126,768x512,24.0504,,,,
bikes,50,0.037448801,1.94,1182126,768x512,24.0504,,,,
bikes,51,0.035864678,1.63,1182126,768x512,24.0504,,,,
bikes,52,0.036155448,1.76,1182126,768x512,24.0504,,,,
bikes,53,0.035867237,1.77,1182126,768x512,24.0504,,,,
bikes,54,0.036501919,1.85,1182126,768x512,24.0504,,,,
bikes,55,0.035641867,1.72,1182126,768x512,24.0504,,,,
bikes,56,0.036139778,1.85,1182126,768x512,24.0504,,,,
bikes,57,0.035482357,1.64,1182126,768x512,24.0504,,,,
bikes,58,0.033406361,1.62,1182126,768x512,24.0504,,,,
bikes,59,0.03286266,1.63,1182126,768x512,24.0504,,,,
bikes,60,0.032243319,1.57,1182126,768x512,24.0504,,,,
bikes,61,0.032177169,1.59,1182126,768x512,24.0504,,,,
bikes,62,0.031841758,1.49,1182126,768x512,24.0504,,,,
bikes,63,0.032390449,1.56,1182126,768x512,24.0504,,,,
building2,0,0.088493516,4.29,985200,640x512,24.0527,,,,
building2,1,0.080588286,4.29,985200,640x512,24.0527,,,,
building2,2,0.071098413,3.6,985200,640x512,24.0527,,,,
building2,3,0.071790025,3.67,985200,640x512,24.0527,,,,
building2,4,0.064242526,3.44,985200,640x512,24.0527,,,,
building2,5,0.07382167,3.57,985200,640x512,24.0527,,,,
building2,6,0.145926426,5.29,985200,640x512,24.0527,,,,
building2,7,0.057871902,2.65,985200,640x512,24.0527,,,,
building2,8,0.060869908,2.91,985200,640x512,24.0527,,,,
building2,9,0.063614045,2.91,985200,640x512,24.0527,,,,
building2,10,0.057880101,2.73,985200,640x512,24.0527,,,,
building2,11,0.062344042,2.8,985200,640x512,24.0527,,,,
building2,12,0.055326274,2.54,985200,640x512,24.0527,,,,
building2,13,0.054717733,2.57,985200,640x512,24.0527,,,,
building2,14,0.056318287,2.67,985200,640x512,24.0527,,,,
building2,15,0.05354609,2.51,985200,640x512,24.0527,,,,
building2,16,0.053484401,2.56,985200,640x512,24.0527,,,,
building2,17,0.052765769,2.5,985200,640x512,24.0527,,,,
building2,18,0.052652819,2.55,985200,640x512,24.0527,,,,
building2,19,0.052958339,2.59,985200,640x512,24.0527,,,,
building2,20,0.051691147,2.5,985200,640x512,24.0527,,,,
building2,21,0.051551666,2.5,985200,640x512,24.0527,,,,
building2,22,0.05299667,2.58,985200,640x512,24.0527,,,,
building2,23,0.056417887,2.7,985200,640x512,24.0527,,,,
building2,24,0.056964979,2.73,985200,640x512,24.0527,,,,
building2,25,0.050783854,2.45,985200,640x512,24.0527,,,,
building2,26,0.04926927,2.32,985200,640x512,24.0527,,,,
building2,27,0.04893324,2.51,985200,640x512,24.0527,,,,
building2,28,0.051921887,2.42,985200,640x512,24.0527,,,,
building2,29,0.047204385,2.32,985200,640x512,24.0527,,,,
building2,30,0.046786434,2.31,985200,640x512,24.0527,,,,
building2,31,0.045826542,2.31,985200,640x512,24.0527,,,,
building2,32,0.045487621,2.25,985200,640x512,24.0527,,,,
building2,33,0.044615859,2.17,985200,640x512,24.0527,,,,
building2,34,0.043668776,2.09,985200,640x512,24.0527,,,,
building2,35,0.043046525,2.06,985200,640x512,24.0527,,,,
building2,36,0.043162125,2.08,985200,640x512,24.0527,,,,
building2,37,0.041310841,1.97,985200,640x512,24.0527,,,,
building2,38,0.041270151,2.07,985200,640x512,24.0527,,,,
building2,39,0.039773197,1.98,985200,640x512,24.0527,,,,
building2,40,0.039650497,1.95,985200,640x512,24.0527,,,,
building2,41,0.039474796,1.93,985200,640x512,24.0527,,,,
building2,42,0.038679825,1.9,985200,640x512,24.0527,,,,
building2,43,0.038415884,1.83,985200,640x512,24.0527,,,,
building2,44,0.038260303,1.78,985200,640x512,24.0527,,,,
building2,45,0.037298011,1.84,985200,640x512,24.0527,,,,
building2,46,0.036592839,1.81,985200,640x512,24.0527,,,,
building2,47,0.036486859,1.79,985200,640x512,24.0527,,,,
building2,48,0.035911138,1.66,985200,640x512,24.0527,,,,
building2,49,0.035147905,1.65,985200,640x512,24.0527,,,,
building2,50,0.035086066,1.66,985200,640x512,24.0527,,,,
building2,51,0.034537724,1.55,985200,640x512,24.0527,,,,
building2,52,0.034223683,1.61,985200,640x512,24.0527,,,,
building2,53,0.034688405,1.68,985200,640x512,24.0527,,,,
building2,54,0.033367602,1.65,985200,640x512,24.0527,,,,
building2,55,0.03281077,1.49,985200,640x512,24.0527,,,,
building2,56,0.032937621,1.63,985200,640x512,24.0527,,,,
building2,57,0.031753698,1.51,985200,640x512,24.0527,,,,
building2,58,0.037560002,1.81,985200,640x512,24.0527,,,,
building2,59,0.030797006,1.46,985200,640x512,24.0527,,,,
building2,60,0.030934516,1.48,985200,640x512,24.0527,,,,
building2,61,0.030051893,1.42,985200,640x512,24.0527,,,,
building2,62,0.029167941,1.42,985200,640x512,24.0527,,,,
building2,63,0.028171659,1.32,985200,640x512,24.0527,,,,
buildings,0,0.091543333,4.16,1182126,768x512,24.0504,,,,
buildings,1,0.088843617,4.24,1182126,768x512,24.0504,,,,
buildings,2,0.079154773,3.86,1182126,768x512,24.0504,,,,
buildings,3,0.074200071,3.64,1182126,768x512,24.0504,,,,
buildings,4,0.071014264,3.45,1182126,768x512,24.0504,,,,
buildings,5,0.065766931,3.25,1182126,768x512,24.0504,,,,
buildings,6,0.065220429,3.24,1182126,768x512,24.0504,,,,
buildings,7,0.070479132,3.6,1182126,768x512,24.0504,,,,
buildings,8,0.088368206,3.85,1182126,768x512,24.0504,,,,
buildings,9,0.062433353,2.97,1182126,768x512,24.0504,,,,
buildings,10,0.057836311,2.69,1182126,768x512,24.0504,,,,
buildings,11,0.056705958,2.76,1182126,768x512,24.0504,,,,
buildings,12,0.05714799,2.82,1182126,768x512,24.0504,,,,
buildings,13,0.054327682,2.76,1182126,768x512,24.0504,,,,
buildings,14,0.054217333,2.71,1182126,768x512,24.0504,,,,
buildings,15,0.054366382,2.51,1182126,768x512,24.0504,,,,
buildings,16,0.053925742,2.69,1182126,768x512,24.0504,,,,
buildings,17,0.054000621,2.61,1182126,768x512,24.0504,,,,
buildings,18,0.054261432,2.62,1182126,768x512,24.0504,,,,
buildings,19,0.051029084,2.5,1182126,768x512,24.0504,,,,
buildings,20,0.050033952,2.54,1182126,768x512,24.0504,,,,
buildings,21,0.051944677,2.57,1182126,768x512,24.0504,,,,
buildings,22,0.050139872,2.49,1182126,768x512,24.0504,,,,
buildings,23,0.049287681,2.34,1182126,768x512,24.0504,,,,
buildings,24,0.04913878,2.4,1182126,768x512,24.0504,,,,
buildings,25,0.048568438,2.13,1182126,768x512,24.0504,,,,
buildings,26,0.048923619,2.56,1182126,768x512,24.0504,,,,
buildings,27,0.046980985,2.34,1182126,768x512,24.0504,,,,
buildings,28,0.045930602,2.21,1182126,768x512,24.0504,,,,
buildings,29,0.046156712,2.13,1182126,768x512,24.0504,,,,
buildings,30,0.04506431,2.21,1182126,768x512,24.0504,,,,
buildings,31,0.044298248,2.17,1182126,768x512,24.0504,,,,
buildings,32,0.043940817,2.03,1182126,768x512,24.0504,,,,
buildings,33,0.043596766,2.1,1182126,768x512,24.0504,,,,
buildings,34,0.043932508,2.15,1182126,768x512,24.0504,,,,
buildings,35,0.042316503,2.02,1182126,768x512,24.0504,,,,
buildings,36,0.042902425,2.1,1182126,768x512,24.0504,,,,
buildings,37,0.04111164,1.98,1182126,768x512,24.0504,,,,
buildings,38,0.041956752,2.04,1182126,768x512,24.0504,,,,
buildings,39,0.040344999,1.93,1182126,768x512,24.0504,,,,
buildings,40,0.040300929,1.88,1182126,768x512,24.0504,,,,
buildings,41,0.047857127,2.18,1182126,768x512,24.0504,,,,
buildings,42,0.039796827,1.93,1182126,768x512,24.0504,,,,
buildings,43,0.037828243,1.72,1182126,768x512,24.0504,,,,
buildings,44,0.039440396,1.91,1182126,768x512,24.0504,,,,
buildings,45,0.038343454,1.87,1182126,768x512,24.0504,,,,
buildings,46,0.037594071,1.74,1182126,768x512,24.0504,,,,
buildings,47,0.03667318,1.66,1182126,768x512,24.0504,,,,
buildings,48,0.036581689,1.8,1182126,768x512,24.0504,,,,
buildings,49,0.036243069,1.69,1182126,768x512,24.0504,,,,
buildings,50,0.036376509,1.75,1182126,768x512,24.0504,,,,
buildings,51,0.035717847,1.73,1182126,768x512,24.0504,,,,
buildings,52,0.034999415,1.58,1182126,768x512,24.0504,,,,
buildings,53,0.035187146,1.6,1182126,768x512,24.0504,,,,
buildings,54,0.034505504,1.64,1182126,768x512,24.0504,,,,
buildings,55,0.035869377,1.77,1182126,768x512,24.0504,,,,
buildings,56,0.042270224,1.92,1182126,768x512,24.0504,,,,
buildings,57,0.035776248,1.7,1182126,768x512,24.0504,,,,
buildings,58,0.034086343,1.64,1182126,768x512,24.0504,,,,
buildings,59,0.03269458,1.54,1182126,768x512,24.0504,,,,
buildings,60,0.03274527,1.57,1182126,768x512,24.0504,,,,
buildings,61,0.032387759,1.52,1182126,768x512,24.0504,,,,
buildings,62,0.031459047,1.51,1182126,768x512,24.0504,,,,
buildings,63,0.047671617,1.81,1182126,768x512,24.0504,,,,
caps,0,0.075539604,3.63,1182126,768x512,24.0504,,,,
caps,1,0.072938708,3.57,1182126,768x512,24.0504,,,,
caps,2,0.064398437,3.07,1182126,768x512,24.0504,,,,
caps,3,0.056121857,2.55,1182126,768x512,24.0504,,,,
caps,4,0.05334671,2.63,1182126,768x512,24.0504,,,,
caps,5,0.049067689,2.4,1182126,768x512,24.0504,,,,
caps,6,0.051606436,2.53,1182126,768x512,24.0504,,,,
caps,7,0.04537357,2.32,1182126,768x512,24.0504,,,,
caps,8,0.043624116,2.15,1182126,768x512,24.0504,,,,
caps,9,0.041431712,1.94,1182126,768x512,24.0504,,,,
caps,10,0.0410516,1.95,1182126,768x512,24.0504,,,,
caps,11,0.04083929,1.84,1182126,768x512,24.0504,,,,
caps,12,0.039941308,1.97,1182126,768x512,24.0504,,,,
caps,13,0.039394176,1.72,1182126,768x512,24.0504,,,,
caps,14,0.039668907,1.9,1182126,768x512,24.0504,,,,
caps,15,0.039524807,1.88,1182126,768x512,24.0504,,,,
caps,16,0.038615334,1.77,1182126,768x512,24.0504,,,,
caps,17,0.037568802,1.76,1182126,768x512,24.0504,,,,
caps,18,0.037859732,1.82,1182126,768x512,24.0504,,,,
caps,19,0.037760972,1.77,1182126,768x512,24.0504,,,,
caps,20,0.037503992,1.88,1182126,768x512,24.0504,,,,
caps,21,0.03699236,1.77,1182126,768x512,24.0504,,,,
caps,22,0.037268321,1.74,1182126,768x512,24.0504,,,,
caps,23,0.037327721,1.77,1182126,768x512,24.0504,,,,
caps,24,0.037246221,1.68,1182126,768x512,24.0504,,,,
caps,25,0.039976368,1.83,1182126,768x512,24.0504,,,,
caps,26,0.03697648,1.72,1182126,768x512,24.0504,,,,
caps,27,0.043124305,1.94,1182126,768x512,24.0504,,,,
caps,28,0.03708064,1.8,1182126,768x512,24.0504,,,,
caps,29,0.035461496,1.66,1182126,768x512,24.0504,,,,
caps,30,0.035881878,1.73,1182126,768x512,24.0504,,,,
caps,31,0.035228606,1.67,1182126,768x512,24.0504,,,,
caps,32,0.034258403,1.55,1182126,768x512,24.0504,,,,
caps,33,0.034159434,1.68,1182126,768x512,24.0504,,,,
caps,34,0.034069233,1.62,1182126,768x512,24.0504,,,,
caps,35,0.033416361,1.58,1182126,768x512,24.0504,,,,
caps,36,0.034073773,1.5,1182126,768x512,24.0504,,,,
caps,37,0.034053313,1.64,1182126,768x512,24.0504,,,,
caps,38,0.033594332,1.56,1182126,768x512,24.0504,,,,
caps,39,0.033549722,1.55,1182126,768x512,24.0504,,,,
caps,40,0.033845512,1.61,1182126,768x512,24.0504,,,,
caps,41,0.034600145,1.64,1182126,768x512,24.0504,,,,
caps,42,0.038261454,1.81,1182126,768x512,24.0504,,,,
caps,43,0.03275951,1.54,1182126,768x512,24.0504,,,,
caps,44,0.03303755,1.59,1182126,768x512,24.0504,,,,
caps,45,0.033113811,1.57,1182126,768x512,24.0504,,,,
caps,46,0.03293797,1.55,1182126,768x512,24.0504,,,,
caps,47,0.033279702,1.63,1182126,768x512,24.0504,,,,
caps,48,0.033526261,1.61,1182126,768x512,24.0504,,,,
caps,49,0.032991591,1.56,1182126,768x512,24.0504,,,,
caps,50,0.033580032,1.59,1182126,768x512,24.0504,,,,
caps,51,0.032484299,1.51,1182126,768x512,24.0504,,,,
caps,52,0.035467677,1.61,1182126,768x512,24.0504,,,,
caps,53,0.032363959,1.55,1182126,768x512,24.0504,,,,
caps,54,0.033408751,1.55,1182126,768x512,24.0504,,,,
caps,55,0.033172071,1.53,1182126,768x512,24.0504,,,,
caps,56,0.03278776,1.54,1182126,768x512,24.0504,,,,
caps,57,0.032906831,1.51,1182126,768x512,24.0504,,,,
caps,58,0.032183968,1.56,1182126,768x512,24.0504,,,,
caps,59,0.031782388,1.43,1182126,768x512,24.0504,,,,
caps,60,0.031750807,1.33,1182126,768x512,24.0504,,,,
caps,61,0.031588807,1.48,1182126,768x512,24.0504,,,,
caps,62,0.031386467,1.51,1182126,768x512,24.0504,,,,
caps,63,0.031045626,1.46,1182126,768x512,24.0504,,,,
carnivaldolls,0,0.062210242,3.05,895039,610x488,24.0537,,,,
carnivaldolls,1,0.057058599,2.82,895039,610x488,24.0537,,,,
carnivaldolls,2,0.05355469,2.56,895039,610x488,24.0537,,,,
carnivaldolls,3,0.051421405,2.51,895039,610x488,24.0537,,,,
carnivaldolls,4,0.049762821,2.37,895039,610x488,24.0537,,,,
carnivaldolls,5,0.048446578,2.41,895039,610x488,24.0537,,,,
carnivaldolls,6,0.046484334,2.12,895039,610x488,24.0537,,,,
carnivaldolls,7,0.045587041,2.05,895039,610x488,24.0537,,,,
carnivaldolls,8,0.04502027,2.07,895039,610x488,24.0537,,,,
carnivaldolls,9,0.043386375,2.07,895039,610x488,24.0537,,,,
carnivaldolls,10,0.042249783,1.9,895039,610x488,24.0537,,,,
carnivaldolls,11,0.041373391,1.99,895039,610x488,24.0537,,,,
carnivaldolls,12,0.041651781,1.92,895039,610x488,24.0537,,,,
carnivaldolls,13,0.040435529,1.86,895039,610x488,24.0537,,,,
carnivaldolls,14,0.040588599,1.94,895039,610x488,24.0537,,,,
carnivaldolls,15,0.040313768,1.92,895039,610x488,24.0537,,,,
carnivaldolls,16,0.038898135,1.83,895039,610x488,24.0537,,,,
carnivaldolls,17,0.038159204,1.84,895039,610x488,24.0537,,,,
carnivaldolls,18,0.038782945,1.85,895039,610x488,24.0537,,,,
carnivaldolls,19,0.037530401,1.71,895039,610x488,24.0537,,,,
carnivaldolls,20,0.041906493,1.95,895039,610x488,24.0537,,,,
carnivaldolls,21,0.038099963,1.8,895039,610x488,24.0537,,,,
carnivaldolls,22,0.036608689,1.73,895039,610x488,24.0537,,,,
carnivaldolls,23,0.036068958,1.73,895039,610x488,24.0537,,,,
carnivaldolls,24,0.036112048,1.7,895039,610x488,24.0537,,,,
carnivaldolls,25,0.035410896,1.64,895039,610x488,24.0537,,,,
carnivaldolls,26,0.035556397,1.78,895039,610x488,24.0537,,,,
carnivaldolls,27,0.034430534,1.52,895039,610x488,24.0537,,,,
carnivaldolls,28,0.034375784,1.73,895039,610x488,24.0537,,,,
carnivaldolls,29,0.034675045,1.78,895039,610x488,24.0537,,,,
carnivaldolls,30,0.033182051,1.62,895039,610x488,24.0537,,,,
carnivaldolls,31,0.033269051,1.54,895039,610x488,24.0537,,,,
carnivaldolls,32,0.033974893,1.66,895039,610x488,24.0537,,,,
carnivaldolls,33,0.033205181,1.54,895039,610x488,24.0537,,,,
carnivaldolls,34,0.03272863,1.58,895039,610x488,24.0537,,,,
carnivaldolls,35,0.032118838,1.48,895039,610x488,24.0537,,,,
carnivaldolls,36,0.031980518,1.51,895039,610x488,24.0537,,,,
carnivaldolls,37,0.031354727,1.45,895039,610x488,24.0537,,,,
carnivaldolls,38,0.031671847,1.52,895039,610x488,24.0537,,,,
carnivaldolls,39,0.030875525,1.45,895039,610x488,24.0537,,,,
carnivaldolls,40,0.030380814,1.33,895039,610x488,24.0537,,,,
carnivaldolls,41,0.030392554,1.45,895039,610x488,24.0537,,,,
carnivaldolls,42,0.029907213,1.48,895039,610x488,24.0537,,,,
carnivaldolls,43,0.030300203,1.46,895039,610x488,24.0537,,,,
carnivaldolls,44,0.031255446,1.47,895039,610x488,24.0537,,,,
carnivaldolls,45,0.030333014,1.46,895039,610x488,24.0537,,,,
carnivaldolls,46,0.029331132,1.39,895039,610x488,24.0537,,,,
carnivaldolls,47,0.02895241,1.35,895039,610x488,24.0537,,,,
carnivaldolls,48,0.02904874,1.31,895039,610x488,24.0537,,,,
carnivaldolls,49,0.028243889,1.33,895039,610x488,24.0537,,,,
carnivaldolls,50,0.0285722,1.39,895039,610x488,24.0537,,,,
carnivaldolls,51,0.02867345,1.35,895039,610x488,24.0537,,,,
carnivaldolls,52,0.02847837,1.42,895039,610x488,24.0537,,,,
carnivaldolls,53,0.027742858,1.32,895039,610x488,24.0537,,,,
carnivaldolls,54,0.027770858,1.36,895039,610x488,24.0537,,,,
carnivaldolls,55,0.028015759,1.38,895039,610x488,24.0537,,,,
carnivaldolls,56,0.030270904,1.4,895039,610x488,24.0537,,,,
carnivaldolls,57,0.027439887,1.29,895039,610x488,24.0537,,,,
carnivaldolls,58,0.027537467,1.27,895039,610x488,24.0537,,,,
carnivaldolls,59,0.027609388,1.28,895039,610x488,24.0537,,,,
carnivaldolls,60,0.027546727,1.35,895039,610x488,24.0537,,,,
carnivaldolls,61,0.027129086,1.26,895039,610x488,24.0537,,,,
carnivaldolls,62,0.027143846,1.3,895039,610x488,24.0537,,,,
carnivaldolls,63,0.025708682,1.14,895039,610x488,24.0537,,,,
cemetry,0,0.076299656,3.37,908642,627x482,24.0529,,,,
cemetry,1,0.069350879,3.2,908642,627x482,24.0529,,,,
cemetry,2,0.063170825,2.85,908642,627x482,24.0529,,,,
cemetry,3,0.059531426,2.71,908642,627x482,24.0529,,,,
cemetry,4,0.058781713,2.79,908642,627x482,24.0529,,,,
cemetry,5,0.058102742,2.68,908642,627x482,24.0529,,,,
cemetry,6,0.055985566,2.55,908642,627x482,24.0529,,,,
cemetry,7,0.054570413,2.75,908642,627x482,24.0529,,,,
cemetry,8,0.054605163,2.67,908642,627x482,24.0529,,,,
cemetry,9,0.052968829,2.44,908642,627x482,24.0529,,,,
cemetry,10,0.052704968,2.5,908642,627x482,24.0529,,,,
cemetry,11,0.051515866,2.52,908642,627x482,24.0529,,,,
cemetry,12,0.051087695,2.47,908642,627x482,24.0529,,,,
cemetry,13,0.048471329,2.31,908642,627x482,24.0529,,,,
cemetry,14,0.047343396,2,908642,627x482,24.0529,,,,
cemetry,15,0.054564463,2.39,908642,627x482,24.0529,,,,
cemetry,16,0.046914074,2.22,908642,627x482,24.0529,,,,
cemetry,17,0.044489799,2.14,908642,627x482,24.0529,,,,
cemetry,18,0.044161248,2.12,908642,627x482,24.0529,,,,
cemetry,19,0.050518003,2.29,908642,627x482,24.0529,,,,
cemetry,20,0.043096405,2.08,908642,627x482,24.0529,,,,
cemetry,21,0.041894412,1.84,908642,627x482,24.0529,,,,
cemetry,22,0.042255093,1.95,908642,627x482,24.0529,,,,
cemetry,23,0.041650201,1.99,908642,627x482,24.0529,,,,
cemetry,24,0.041541471,1.98,908642,627x482,24.0529,,,,
cemetry,25,0.04084645,1.91,908642,627x482,24.0529,,,,
cemetry,26,0.040435329,1.99,908642,627x482,24.0529,,,,
cemetry,27,0.039774467,1.85,908642,627x482,24.0529,,,,
cemetry,28,0.039944468,1.93,908642,627x482,24.0529,,,,
cemetry,29,0.038477424,1.8,908642,627x482,24.0529,,,,
cemetry,30,0.038473654,1.94,908642,627x482,24.0529,,,,
cemetry,31,0.037902813,1.79,908642,627x482,24.0529,,,,
cemetry,32,0.036358379,1.69,908642,627x482,24.0529,,,,
cemetry,33,0.035561707,1.71,908642,627x482,24.0529,,,,
cemetry,34,0.035954127,1.68,908642,627x482,24.0529,,,,
cemetry,35,0.034929875,1.64,908642,627x482,24.0529,,,,
cemetry,36,0.034991085,1.65,908642,627x482,24.0529,,,,
cemetry,37,0.037974212,1.82,908642,627x482,24.0529,,,,
cemetry,38,0.033402121,1.6,908642,627x482,24.0529,,,,
cemetry,39,0.03272696,1.63,908642,627x482,24.0529,,,,
cemetry,40,0.03282145,1.54,908642,627x482,24.0529,,,,
cemetry,41,0.033916123,1.55,908642,627x482,24.0529,,,,
cemetry,42,0.033429382,1.58,908642,627x482,24.0529,,,,
cemetry,43,0.03270468,1.55,908642,627x482,24.0529,,,,
cemetry,44,0.032519689,1.59,908642,627x482,24.0529,,,,
cemetry,45,0.030810605,1.41,908642,627x482,24.0529,,,,
cemetry,46,0.033308941,1.54,908642,627x482,24.0529,,,,
cemetry,47,0.030133294,1.47,908642,627x482,24.0529,,,,
cemetry,48,0.029862923,1.47,908642,627x482,24.0529,,,,
cemetry,49,0.029219891,1.37,908642,627x482,24.0529,,,,
cemetry,50,0.032351289,1.54,908642,627x482,24.0529,,,,
cemetry,51,0.029110681,1.35,908642,627x482,24.0529,,,,
cemetry,52,0.029685323,1.49,908642,627x482,24.0529,,,,
cemetry,53,0.02894193,1.39,908642,627x482,24.0529,,,,
cemetry,54,0.029203592,1.31,908642,627x482,24.0529,,,,
cemetry,55,0.028355879,1.31,908642,627x482,24.0529,,,,
cemetry,56,0.028062418,1.33,908642,627x482,24.0529,,,,
cemetry,57,0.027404237,1.29,908642,627x482,24.0529,,,,
cemetry,58,0.027479207,1.28,908642,627x482,24.0529,,,,
cemetry,59,0.02846533,1.37,908642,627x482,24.0529,,,,
cemetry,60,0.027088356,1.29,908642,627x482,24.0529,,,,
cemetry,61,0.026740756,1.25,908642,627x482,24.0529,,,,
cemetry,62,0.026494405,1.24,908642,627x482,24.0529,,,,
cemetry,63,0.026626215,1.23,908642,627x482,24.0529,,,,
churchandcapitol,0,0.074225552,3.56,962627,634x505,24.0528,,,,
churchandcapitol,1,0.070775653,3.48,962627,634x505,24.0528,,,,
churchandcapitol,2,0.07386679,3.45,962627,634x505,24.0528,,,,
churchandcapitol,3,0.061086539,2.87,962627,634x505,24.0528,,,,
churchandcapitol,4,0.059836796,2.89,962627,634x505,24.0528,,,,
churchandcapitol,5,0.0571349,2.73,962627,634x505,24.0528,,,,
churchandcapitol,6,0.054399672,2.75,962627,634x505,24.0528,,,,
churchandcapitol,7,0.051504976,2.53,962627,634x505,24.0528,,,,
churchandcapitol,8,0.050452124,2.52,962627,634x505,24.0528,,,,
churchandcapitol,9,0.049678161,2.27,962627,634x505,24.0528,,,,
churchandcapitol,10,0.048283468,2.29,962627,634x505,24.0528,,,,
churchandcapitol,11,0.047406286,2.28,962627,634x505,24.0528,,,,
churchandcapitol,12,0.046653024,2.4,962627,634x505,24.0528,,,,
churchandcapitol,13,0.044660849,2.15,962627,634x505,24.0528,,,,
churchandcapitol,14,0.045691671,2.18,962627,634x505,24.0528,,,,
churchandcapitol,15,0.043850927,2.12,962627,634x505,24.0528,,,,
churchandcapitol,16,0.042814665,2.04,962627,634x505,24.0528,,,,
churchandcapitol,17,0.043110006,2.2,962627,634x505,24.0528,,,,
churchandcapitol,18,0.042539574,2.01,962627,634x505,24.0528,,,,
churchandcapitol,19,0.042093303,1.99,962627,634x505,24.0528,,,,
churchandcapitol,20,0.041801132,2.04,962627,634x505,24.0528,,,,
churchandcapitol,21,0.041337201,1.9,962627,634x505,24.0528,,,,
churchandcapitol,22,0.041405201,2.01,962627,634x505,24.0528,,,,
churchandcapitol,23,0.045653802,2.09,962627,634x505,24.0528,,,,
churchandcapitol,24,0.039942188,1.88,962627,634x505,24.0528,,,,
churchandcapitol,25,0.039209186,1.93,962627,634x505,24.0528,,,,
churchandcapitol,26,0.040980551,1.95,962627,634x505,24.0528,,,,
churchandcapitol,27,0.038437173,1.86,962627,634x505,24.0528,,,,
churchandcapitol,28,0.038318414,1.78,962627,634x505,24.0528,,,,
churchandcapitol,29,0.037560312,1.69,962627,634x505,24.0528,,,,
churchandcapitol,30,0.037199281,1.82,962627,634x505,24.0528,,,,
churchandcapitol,31,0.037196851,1.7,962627,634x505,24.0528,,,,
churchandcapitol,32,0.036575179,1.78,962627,634x505,24.0528,,,,
churchandcapitol,33,0.035774907,1.73,962627,634x505,24.0528,,,,
churchandcapitol,34,0.035493207,1.59,962627,634x505,24.0528,,,,
